,Date,Continents,Country,Gender,Visitors,Visitors Same Period Previous Year,Growth
0,2016-01-01,Oceania,Australia,male,5295,5402,-2.0
1,2016-01-01,Oceania,Australia,female,4414,4379,0.8
4,2016-02-01,Oceania,Australia,male,4239,3972,6.7
5,2016-02-01,Oceania,Australia,female,2807,2785,0.8
8,2016-03-01,Oceania,Australia,male,7022,5728,22.6
9,2016-03-01,Oceania,Australia,female,5914,4347,36.0
12,2016-04-01,Oceania,Australia,male,7326,7379,-0.7
13,2016-04-01,Oceania,Australia,female,6356,6265,1.5
16,2016-05-01,Oceania,Australia,male,6933,6854,1.2
17,2016-05-01,Oceania,Australia,female,5563,5749,-3.2
20,2016-06-01,Oceania,Australia,male,6897,4547,51.7
21,2016-06-01,Oceania,Australia,female,5739,3586,60.0
24,2016-07-01,Oceania,Australia,male,7736,4687,65.1
25,2016-07-01,Oceania,Australia,female,6933,3461,100.3
28,2016-08-01,Oceania,Australia,male,5326,4730,12.6
29,2016-08-01,Oceania,Australia,female,3994,3178,25.7
32,2016-09-01,Oceania,Australia,male,7637,6502,17.5
33,2016-09-01,Oceania,Australia,female,6713,5215,28.7
36,2016-10-01,Oceania,Australia,male,7540,7168,5.2
37,2016-10-01,Oceania,Australia,female,6036,5331,13.2
40,2016-11-01,Oceania,Australia,male,6484,5410,19.9
41,2016-11-01,Oceania,Australia,female,5106,4048,26.1
44,2016-12-01,Oceania,Australia,male,8020,6956,15.3
45,2016-12-01,Oceania,Australia,female,7437,6096,22.0
48,2017-01-01,Oceania,Australia,male,6368,5295,20.3
49,2017-01-01,Oceania,Australia,female,5293,4414,19.9
52,2017-02-01,Oceania,Australia,male,4912,4239,15.9
53,2017-02-01,Oceania,Australia,female,3351,2807,19.4
56,2017-03-01,Oceania,Australia,male,6951,7022,-1.0
57,2017-03-01,Oceania,Australia,female,5547,5914,-6.2
60,2017-04-01,Oceania,Australia,male,9688,7326,32.2
61,2017-04-01,Oceania,Australia,female,9074,6356,42.8
64,2017-05-01,Oceania,Australia,male,6347,6933,-8.5
65,2017-05-01,Oceania,Australia,female,4853,5563,-12.8
68,2017-06-01,Oceania,Australia,male,7100,6897,2.9
69,2017-06-01,Oceania,Australia,female,6070,5739,5.8
72,2017-07-01,Oceania,Australia,male,6395,7736,-17.3
73,2017-07-01,Oceania,Australia,female,5527,6933,-20.3
76,2017-08-01,Oceania,Australia,male,5484,5326,3.0
77,2017-08-01,Oceania,Australia,female,4536,3994,13.6
80,2017-09-01,Oceania,Australia,male,6815,7637,-10.8
81,2017-09-01,Oceania,Australia,female,5884,6713,-12.3
84,2017-10-01,Oceania,Australia,male,6329,7540,-16.1
85,2017-10-01,Oceania,Australia,female,5275,6036,-12.6
88,2017-11-01,Oceania,Australia,male,5198,6484,-19.8
89,2017-11-01,Oceania,Australia,female,4332,5106,-15.2
92,2017-12-01,Oceania,Australia,male,7657,8020,-4.5
93,2017-12-01,Oceania,Australia,female,7056,7437,-5.1
96,2018-01-01,Oceania,Australia,male,6025,6368,-5.4
97,2018-01-01,Oceania,Australia,female,5363,5293,1.3
100,2018-02-01,Oceania,Australia,male,4883,4912,-0.6
101,2018-02-01,Oceania,Australia,female,3613,3351,7.8
104,2018-03-01,Oceania,Australia,male,5757,6951,-17.2
105,2018-03-01,Oceania,Australia,female,4624,5547,-16.6
108,2018-04-01,Oceania,Australia,male,7799,9688,-19.5
109,2018-04-01,Oceania,Australia,female,7404,9074,-18.4
112,2018-05-01,Oceania,Australia,male,6686,6347,5.3
113,2018-05-01,Oceania,Australia,female,5502,4853,13.4
116,2018-06-01,Oceania,Australia,male,6322,7100,-11.0
117,2018-06-01,Oceania,Australia,female,5242,6070,-13.6
120,2018-07-01,Oceania,Australia,male,6087,6395,-4.8
121,2018-07-01,Oceania,Australia,female,5130,5527,-7.2
124,2018-08-01,Oceania,Australia,male,6098,5484,11.2
125,2018-08-01,Oceania,Australia,female,5195,4536,14.5
128,2018-09-01,Oceania,Australia,male,7827,6815,14.8
129,2018-09-01,Oceania,Australia,female,7216,5884,22.6
132,2018-10-01,Oceania,Australia,male,7738,6329,22.3
133,2018-10-01,Oceania,Australia,female,6707,5275,27.1
136,2018-11-01,Oceania,Australia,male,6094,5198,17.2
137,2018-11-01,Oceania,Australia,female,5374,4332,24.1
140,2018-12-01,Oceania,Australia,male,8617,7657,12.5
141,2018-12-01,Oceania,Australia,female,8267,7056,17.2
144,2019-01-01,Oceania,Australia,male,7126,6025,18.3
145,2019-01-01,Oceania,Australia,female,6863,5363,28.0
148,2019-02-01,Oceania,Australia,male,4504,4883,-7.8
149,2019-02-01,Oceania,Australia,female,3512,3613,-2.8
152,2019-03-01,Oceania,Australia,male,6337,5757,10.1
153,2019-03-01,Oceania,Australia,female,5602,4624,21.2
156,2019-04-01,Oceania,Australia,male,9697,7799,24.3
157,2019-04-01,Oceania,Australia,female,9901,7404,33.7
160,2019-05-01,Oceania,Australia,male,7049,6686,5.4
161,2019-05-01,Oceania,Australia,female,6195,5502,12.6
164,2019-06-01,Oceania,Australia,male,6796,6322,7.5
165,2019-06-01,Oceania,Australia,female,6132,5242,17.0
168,2019-07-01,Oceania,Australia,male,6091,6087,0.1
169,2019-07-01,Oceania,Australia,female,5451,5130,6.3
172,2019-08-01,Oceania,Australia,male,6992,6098,14.7
173,2019-08-01,Oceania,Australia,female,6299,5195,21.3
176,2019-09-01,Oceania,Australia,male,8830,7827,12.8
177,2019-09-01,Oceania,Australia,female,8103,7216,12.3
180,2019-10-01,Oceania,Australia,male,8068,7738,4.3
181,2019-10-01,Oceania,Australia,female,7411,6707,10.5
184,2019-11-01,Oceania,Australia,male,6666,6094,9.4
185,2019-11-01,Oceania,Australia,female,6141,5374,14.3
188,2019-12-01,Oceania,Australia,male,9626,8617,11.7
189,2019-12-01,Oceania,Australia,female,9348,8267,13.1
