,Country,Type,Date,Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
0,Argentina,Concert,2017-09-12 00:00:00,Monsta X,Beautiful,"Buenos Aires, Argentina",Luna Park,---,MyMusicTaste
1,Argentina,Concert,2017-10-04 00:00:00,K.A.R.D,Wild Kard Pt.2,"Buenos Aires, Argentina",Teatro Vorterix,AllAccess,MyMusicTaste
2,Australia,Concert,2017-08-08 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Brisbane, Australia",Brisbane Entertainment Centre,LiveNation,---
3,Australia,Concert,2017-08-12 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Melbourne, Australia",Hisense Arena,LiveNation,---
4,Australia,Concert,2017-09-22 00:00:00,Various,KCON,Sydney,Qudos Bank Arena,Ticketek,FB
5,Australia,Concert,2017-05-26 00:00:00,BTS,Ep. III The Wings Tour,"Sydney, Australia",Qudos Bank Arena,Ticketek,---
6,Australia,Concert,2017-08-05 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Sydney, Australia",Qudos Bank Arena,LiveNation,---
7,Canada,Concert,2017-03-23 00:00:00,Mar 23,Various,Club Eskimo Canada Tour,"Vancouver, BC",Vogue Theatre,Ticketfly
8,Canada,Concert,2017-03-26 00:00:00,Mar 26,Various,Club Eskimo Canada Tour,"Toronto, ON",The Opera House,Eventbee
9,Canada,Concert,2017-08-30 00:00:00,Taeyang,White Night,"Mississauga, ON",The International Centre,MegaBoxOffice,Site
10,Canada,Concert,2017-05-19 00:00:00,The One,Canada Tour Toronto,"North York, ON",Toronto Centre for the Arts,Ticketmaster,FB
11,Canada,Fanmeet,2017-05-12 00:00:00,"BTOB, KARD",Toronto Kpop Con 2017,"Toronto, ON",John Bassett Theatre,TKC,FB
12,Canada,Concert,2017-07-06 00:00:00,"G2, Reddy",Universe x G2's Life Tour,"Toronto, ON",Lee's Palace,---,FB
13,Canada,Concert,2017-07-30 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Toronto, ON",Air Canada Centre,Ticketmaster,---
14,Canada,Concert,2017-08-25 00:00:00,Seventeen,Diamond Edge,"Toronto, ON",Massey Hall,Venue Site,Site
15,Canada,Concert,2017-09-08 00:00:00,Hyukoh,tour',"Toronto, ON",The Opera House,Ticketfly,FB
16,Canada,Concert,2017-10-27 00:00:00,VIXX,Shangri-La,"Toronto, ON",John Bassett Theatre,Eventbee,FB
17,Canada,Fanmeet,2017-10-29 00:00:00,DAY6,Live & Meet,"Toronto, ON",John Bassett Theatre,Eventbrite,Site
18,Canada,Concert,2017-07-01 00:00:00,"G2, Reddy",Universe x G2's Life Tour,"Vancouver, BC",Privé Nightclub,Eventbrite,FB
19,Canada,Concert,2017-09-14 00:00:00,Taeyang,White Night,"Vancouver, BC",Orpheum,MegaBoxOffice,Site
20,Canada,Festival,2017-09-14 00:00:00,"Hyukoh, Taeyeon",Albatross Music Festival,"Vancouver, BC",Hastings Racecourse,TicketZone,Site
21,Canada,Concert,2017-09-15 00:00:00,Taeyang,White Night,"Vancouver, BC",Orpheum,MegaBoxOffice,Site
22,Canada,Concert,2017-10-29 00:00:00,VIXX,Shangri-La,"Vancouver, BC",Hard Rock Casino Vancouver,Ticketmaster,FB
23,Canada,Concert,2017-05-03 00:00:00,May 03,K.A.R.D,Wild Kard,"Vancouver, BC",Harbour Event Centre,Eventbee
24,Chile,Concert,2017-08-29 00:00:00,Seventeen,Diamond Edge,"Santiago, Chile",Movistar Arena,Punto Ticket,Site
25,Chile,Concert,2017-09-14 00:00:00,Monsta X,Beautiful,"Santiago, Chile",Movistar Arena,---,MyMusicTaste
26,Czech,Concert,2017-05-26 00:00:00,Grace,K-Pop K-Hiphop Party,"Prague, Czech Republic",Style Dance Club,---,FB
27,Finland,Concert,2017-02-26 00:00:00,Feb 26,Block B,Live Blockbuster,"Helsinki, Finland",The Circus,MyMusicTaste
28,France,Concert,2017-08-09 00:00:00,Monsta X,Beautiful in Europe,"Paris, France",L'Olympia Bruno Coquatrix,MyMusicTaste,---
29,France,Concert,2017-09-28 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Paris, France",AccorHotels Arena,Ticketmaster,---
30,France,Concert,2017-10-27 00:00:00,F.T. Island,Live [X],"Paris, France",Élysée Montmartre,MyMusicTaste,MyMusicTaste
31,France,Concert,2017-10-29 00:00:00,Hyukoh,tour',"Paris, France",YOYO Palais de Tokyo,Ticketmaster,FB
32,France,Concert,2017-05-03 00:00:00,May 03,B.A.P.,Party Baby,"Paris, France",Le Zénith Paris,Weezevent
33,Germany,Concert,2017-08-11 00:00:00,Monsta X,Beautiful in Europe,"Berlin, Germany",Tempodrom,MyMusicTaste,---
34,Germany,Concert,2017-09-30 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Berlin, Germany",Mercedes-Benz Arena,LiveNation,---
35,Germany,Concert,2017-05-20 00:00:00,Grace,K-Pop K-Hiphop Party,"Düsseldorf, Germany",Schlösser Quartier Bohème,Ticket Tailor,FB
36,Germany,Concert,2017-05-27 00:00:00,Grace,K-Pop K-Hiphop Party,"Hamburg, Germany",Club Hamburg,---,FB
37,HongKong,Concert,2017-05-13 00:00:00,BTS,Ep. III The Wings Tour,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
38,HongKong,Concert,2017-05-20 00:00:00,SHINee,SHINee World V,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
39,HongKong,Concert,2017-06-10 00:00:00,Taeyeon,PERSONA,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
40,HongKong,Concert,2017-06-11 00:00:00,Taeyeon,PERSONA,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
41,HongKong,Concert,2017-08-12 00:00:00,Seventeen,Diamond Edge,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,---,---
42,HongKong,Concert,2017-08-19 00:00:00,CN Blue,Between Us,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
43,HongKong,Concert,2017-08-25 00:00:00,G-Dragon,"ACT III, M.O.T.T.E","Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
44,HongKong,Concert,2017-11-25 00:00:00,IU,팔레트 (Palette),"Chek Lap Kok, Hong Kong",AsiaWorld Arena,CityLine,---
45,HongKong,Concert,2017-05-20 00:00:00,T-ara,Live in Macau,"Estr. Flor de Lotus, Macau",Studio City Event Center,HK Ticketing,---
46,HongKong,Concert,2017-05-13 00:00:00,"Kush, Zion.T",‘OO’ Live,"Kowloon Bay, Hong Kong",Kowloon Bay Exhibition Centre,HK Ticketing,---
47,HongKong,Concert,2017-05-21 00:00:00,B1A4,Live Space in Hong Kong,"Kowloon Bay, Hong Kong",Kowloon Bay Exhibition Centre,HK Ticketing,---
48,Hungary,Concert,2017-10-22 00:00:00,F.T. Island,Live [X],"Budapest, Hungary",Barba Negra Music Club,Tixa,MyMusicTaste
49,Hungary,Concert,2017-03-03 00:00:00,Mar 03,Block B,Live Blockbuster,"Budapest, Hungary",Hung Expo,MyMusicTaste
50,Hungary,Concert,2017-05-07 00:00:00,May 07,B.A.P.,Party Baby,"Budapest, Hungary",Barba Negra Track,Tixa
51,Indonesia,Fanmeet,2017-07-29 00:00:00,VIXX,Fan Meeting in SE-Asia,"Jakarta, Indonesia",Kasablanka,MyMusicTaste,---
52,Indonesia,Concert,2017-09-03 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Jakarta, Indonesia",Indonesia Convention Exhibition,Jd.id,---
53,Indonesia,Concert,2017-09-23 00:00:00,Seventeen,Diamond Edge,"Jakarta, Indonesia",Indonesia Convention Exhibition,---,MyMusicTaste
54,Italy,Concert,2017-09-08 00:00:00,K.A.R.D,Wild Kard Tour,"Milan, Italy",Magazzini Generali,CiaoTickets,FB
55,Japan,Concert,2017-07-26 00:00:00,Apink,3rd Japan Tour「3years」,Aichi,Zepp Nagoya,L-tike,Site
56,Japan,Concert,2017-09-21 00:00:00,F.T. Island,Here is Paradise,Aichi,Nagoya International Center,T.pia,---
57,Japan,Concert,2017-10-17 00:00:00,iKON,iKON Japan Dome Tour,Aichi,Nippon Gaishi Hall,T.pia,---
58,Japan,Concert,2017-11-21 00:00:00,Got7,TBD,Aichi,Zepp Nagoya,Eplus,Site
59,Japan,Concert,2017-08-19 00:00:00,G-Dragon,"Act III, M.O.T.T.E.",Fukuoka,Fukuoka Yafuoku! Dome,Ltike,---
60,Japan,Concert,2017-09-13 00:00:00,F.T. Island,Here is Paradise,Fukuoka Prefecture,Fukuoka Sun Palace Hotel,T.pia,---
61,Japan,Fanmeet,2017-05-27 00:00:00,Bigbang,Bigbang Special Event 2017,"Fukuoka, Japan",Fukuoka Yafuoku! Dome,---,YGEX
62,Japan,Concert,2017-09-12 00:00:00,F.T. Island,Here is Paradise,Hiroshima,HBG Hall,T.pia,---
63,Japan,Concert,2017-10-07 00:00:00,iKON,iKON Japan Dome Tour,Hiroshima,Hiroshima Green Arena,T.pia,---
64,Japan,Concert,2017-11-03 00:00:00,Got7,TBD,Hokkaido,Zepp Sapporo,Eplus,Site
65,Japan,Concert,2017-11-11 00:00:00,Got7,TBD,Hokkaido,Fukuoka Sun Palace Hotel & Hall,Eplus,Site
66,Japan,Concert,2017-07-22 00:00:00,Apink,3rd Japan Tour「3years」,Hyogo,Kobe International House,L-tike,Site
67,Japan,Concert,2017-07-30 00:00:00,Apink,3rd Japan Tour「3years」,Kanagawa,Pacifico Yokohama National Convention Hall,L-tike,Site
68,Japan,Concert,2017-09-24 00:00:00,Various,10th Anniversary KMF 2017,Kanagawa,Yokohama Arena,T.pia,Site
69,Japan,Fanmeet,2017-10-29 00:00:00,KNK,1st Fan Meeting,Kanagawa,Kawasaki Civic Auditorium,Eplus,Site
70,Japan,Concert,2017-09-23 00:00:00,F.T. Island,Here is Paradise,Miyagi Prefecture,Sendai Sun Plaza,T.pia,---
71,Japan,Concert,2017-07-23 00:00:00,VIXX,2017 Japan Tour,Osaka,Osaka International Convention Center,Eplus,Site
72,Japan,Concert,2017-08-03 00:00:00,Pentagon,Tentastic Live,Osaka,Zepp Osaka Bayside,T.pia,Site
73,Japan,Concert,2017-08-04 00:00:00,SF9,Fanfare,Osaka,Zepp Osaka Bayside,T.pia,---
74,Japan,Concert,2017-08-05 00:00:00,B.A.P,Party Baby,Osaka,Dojima River Forum,Eplus,Site
75,Japan,Concert,2017-08-06 00:00:00,Mamamoo,Purple,Osaka,Dojima River Forum,"Interpark, Eplus",Site
76,Japan,Concert,2017-08-22 00:00:00,G-Dragon,"Act III, M.O.T.T.E.",Osaka,Kyocera Dome,Ltike,---
77,Japan,Concert,2017-08-22 00:00:00,Jessica,On Cloud Nine,Osaka,Orix's Theater,Eplus,Site
78,Japan,Concert,2017-08-24 00:00:00,Astro,The 1st ASTROAD,Osaka,Zepp Osaka Bayside,Eplus,Site
79,Japan,Concert,2017-09-25 00:00:00,F.T. Island,Here is Paradise,Osaka,Orix Theater,T.pia,---
80,Japan,Fanmeet,2017-10-27 00:00:00,KNK,1st Fan Meeting,Osaka,Zepp Namba,Eplus,Site
81,Japan,Concert,2017-11-24 00:00:00,Got7,TBD,Osaka,Zepp Namba,Eplus,Site
82,Japan,Fanmeet,2017-06-03 00:00:00,Bigbang,Bigbang Special Event 2017,"Osaka, Japan",Kyocera Dome Osaka,---,YGEX
83,Japan,Fanmeet,2017-06-04 00:00:00,Bigbang,Bigbang Special Event 2017,"Osaka, Japan",Kyocera Dome Osaka,---,YGEX
84,Japan,Concert,2017-07-26 00:00:00,Seventeen,Diamond Edge,Saitama,Saitama Super Arena,T.pia,---
85,Japan,Concert,2017-07-01 00:00:00,BTS,The Wings Tour,Sapporo,Makomanai Ice Arena,L-tike,---
86,Japan,Concert,2017-10-14 00:00:00,iKON,iKON Japan Dome Tour,Shizuoka,Shizuoka Ecopa Arena,T.pia,---
87,Japan,Showcase,2017-07-20 00:00:00,Blackpink,Premium Showcase,Tokyo,Nippon Budokan,L-tike,---
88,Japan,Fanmeet,2017-07-22 00:00:00,Oh My Girl,Coloring Summer,Tokyo,TFT Hall,L-tike,Site
89,Japan,Concert,2017-08-02 00:00:00,SF9,Fanfare,Tokyo,Toyosu PIT,T.pia,---
90,Japan,Concert,2017-08-09 00:00:00,B.A.P,Party Baby,Tokyo,Zepp Tokyo,Eplus,Site
91,Japan,Concert,2017-08-17 00:00:00,"Hyukoh, K.A.R.D",Summer Sonic 2017,Tokyo,Space Odd,Eplus,Site
92,Japan,Concert,2017-08-24 00:00:00,Jessica,On Cloud Nine,Tokyo,Tokyo International Forum Hall A,Eplus,Site
93,Japan,Concert,2017-08-25 00:00:00,Myname,Live 2017,Tokyo,Tokyo International Forum Hall A,Eplus,Site
94,Japan,Concert,2017-08-26 00:00:00,Various,A-nation,Tokyo,Ajinomoto Stadium,T.pia,---
95,Japan,Concert,2017-08-28 00:00:00,ASTRO,The 1st ASTROAD,Tokyo,Zepp Tokyo,Eplus,Site
96,Japan,Concert,2017-11-16 00:00:00,Got7,TBD,Tokyo,Zepp DiverCity,Eplus,Site
97,Japan,Concert,2017-12-21 00:00:00,Got7,TBD,Tokyo,Nippon Budokan,Eplus,Site
98,Japan,Fanmeet,2017-05-30 00:00:00,Bigbang,Bigbang Special Event 2017,"Tokyo, Japan",Tokyo Dome,---,YGEX
99,Japan,Fanmeet,2017-05-31 00:00:00,Bigbang,Bigbang Special Event 2017,"Tokyo, Japan",Tokyo Dome,---,YGEX
100,Japan,Concert,2017-08-07 00:00:00,Pentagon,Tentastic Live,Toyko,Toyosu PIT,T.pia,Site
101,Japan,Concert,2017-09-06 00:00:00,T2U (Block B),T 2 u (To You),Toyko,Shibuya WWW X,T.pia,---
102,Japan,Fanmeet,2017-09-17 00:00:00,K.Will,Japan Fan Meeting,Toyko,Toyosu PIT,T.pia,---
103,Japan,Concert,2017-09-18 00:00:00,Nine Muses,Identify,Toyko,Astro Hall,T.pia,---
104,Japan,Concert,2017-09-19 00:00:00,G-Dragon,"Act III, M.O.T.T.E.",Toyko,Toyko Dome,Ltike,---
105,Japan,Concert,2017-09-23 00:00:00,Laboum,Blitz Special talk & live,Toyko,Akasaka Blitz,T.pia,---
106,Japan,Concert,2017-09-27 00:00:00,F.T. Island,Here is Paradise,Toyko,[TBA],T.pia,---
107,Japan,Concert,2017-08-07 00:00:00,B.A.P,Party Baby,,Zepp Nagoya,Eplus,Site
108,Macau,Concert,2017-08-26 00:00:00,AOMG,Follow the Movement,"Estr. Flor de Lotus, Macau",Studio City Event Center,HK Ticketing,---
109,Malaysia,Fanmeet,2017-07-27 00:00:00,VIXX,Fan Meeting in SE-Asia,"Kuala Lumpur, Malaysia",KL LIVE,Galactix,---
110,Malaysia,Concert,2017-09-09 00:00:00,Seventeen,Diamond Edge,"Kuala Lumpur, Malaysia",Stadium Negara,---,---
111,Malaysia,Concert,2017-09-17 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Kuala Lumpur, Malaysia",Stadium Merdeka,TicketCharge,---
112,Mexico,Concert,2017-08-13 00:00:00,JJCC,Live Tour,Mexico City,Sala Corono,KpopTickets,Site
113,Mexico,Concert,2017-09-17 00:00:00,Monsta X,Beautiful,"Mexico City, Mexico",Auditorio BlackBerry,Ticketmaster,MyMusicTaste
114,Mexico,Concert,2017-09-28 00:00:00,24K,Still with 24U,"Mexico City, Mexico",Auditorio BlackBerry,Ticketmaster,
115,Netherlands,Concert,2017-09-26 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Amsterdam, Netherlands","Ziggo Dome,",Ticketmaster,---
116,Netherlands,Concert,2017-10-26 00:00:00,F.T. Island,Live [X],"Amsterdam, Netherlands",The Box,MyMusicTaste,MyMusicTaste
117,Netherlands,Concert,2017-11-01 00:00:00,Hyukoh,tour',"Amsterdam, Netherlands",Q-Factory,Ticketmaster,FB
118,Netherlands,Concert,2017-02-24 00:00:00,Feb 24,Block B,Live Blockbuster,"Amsterdam, Netherlands",The Box,MyMusicTaste
